id,parent_url,orig_doc_url,clean_doc_url,orig_fname,new_fname,upload_date,download_date,sha256_hash
1,https://www.european-agency.org/Malti/publications/,/sites/default/files/assessment-for-learning-and-pupils-with-special-educational-needs_assessment-for-learning-graphic-mt.pdf,https://www.european-agency.org/sites/default/files/assessment-for-learning-and-pupils-with-special-educational-needs_assessment-for-learning-graphic-mt.pdf,assessment-for-learning-and-pupils-with-special-educational-needs_assessment-for-learning-graphic-mt.pdf,0001.pdf,2017-07-28T11:06:34+00:00,2024-12-30 10:00:30.110784,03b0195ecb8fa4e2d448d5d0eeda0d3a5f99f677a670ea3cd19c8f6d0d18f204
2,https://www.european-agency.org/Malti/publications/,/sites/default/files/assessment-for-learning-and-pupils-with-special-educational-needs_assessment_for_learning_mt.pdf,https://www.european-agency.org/sites/default/files/assessment-for-learning-and-pupils-with-special-educational-needs_assessment_for_learning_mt.pdf,assessment-for-learning-and-pupils-with-special-educational-needs_assessment_for_learning_mt.pdf,0002.pdf,2017-07-28T11:06:35+00:00,2024-12-30 10:00:32.010795,76ce72d92b43861376c31213228db66ba8e41fd8fbadd1818d98b7b5e4c1a4b2
3,https://www.european-agency.org/Malti/publications/,/sites/default/files/BRIES_Guidance_MT.docx,https://www.european-agency.org/sites/default/files/BRIES_Guidance_MT.docx,BRIES_Guidance_MT.docx,0003.docx,2024-05-07T12:49:23+00:00,2024-12-30 10:01:04.980491,fb291be01f69c85bf4b79282085923605e38152f26a9825415a0bed20c3044ec
4,https://www.european-agency.org/Malti/publications/,/sites/default/files/LD-PolicyBrief-MT.pdf,https://www.european-agency.org/sites/default/files/LD-PolicyBrief-MT.pdf,LD-PolicyBrief-MT.pdf,0004.pdf,2023-01-27T10:54:58+00:00,2024-12-30 10:01:11.406065,d3ed02cffb22dcda9954b7e4f248bafe08b28de2954e266a7a516feadda3ab2a
5,https://www.european-agency.org/Malti/publications/,/sites/default/files/multicultural-diversity-and-special-needs-education_Multicultural-Diversity-MT.pdf,https://www.european-agency.org/sites/default/files/multicultural-diversity-and-special-needs-education_Multicultural-Diversity-MT.pdf,multicultural-diversity-and-special-needs-education_Multicultural-Diversity-MT.pdf,0005.pdf,2017-07-28T11:06:39+00:00,2024-12-30 10:01:17.108815,3f8e6fbd644adfd1727d5e8d17f40c5a960c93fddc6b50ed4c64667649adbcad
6,https://www.european-agency.org/Malti/publications/,/sites/default/files/iece-summary-mt_0.pdf,https://www.european-agency.org/sites/default/files/iece-summary-mt_0.pdf,iece-summary-mt_0.pdf,0006.pdf,2018-04-23T11:41:03+00:00,2024-12-30 10:01:24.257494,1ab9c556e7661d724550ca171c79f2f8be09322d4165f5e01e3db884828eaa17
7,https://www.european-agency.org/Malti/publications/,/sites/default/files/te4i-key-policy-messages_mt.pdf,https://www.european-agency.org/sites/default/files/te4i-key-policy-messages_mt.pdf,te4i-key-policy-messages_mt.pdf,0007.pdf,2018-10-24T16:14:38+00:00,2024-12-30 10:01:29.143930,ff1d1ab83e744c64fec732f4a8e2f99aee3dcdd5a81aea58d1a3770095623a1a
8,https://www.european-agency.org/Malti/publications/,/sites/default/files/evidence_final_summary_mt.pdf,https://www.european-agency.org/sites/default/files/evidence_final_summary_mt.pdf,evidence_final_summary_mt.pdf,0008.pdf,2018-10-22T10:27:57+00:00,2024-12-30 10:01:35.614896,80f07a418250f722480c03d5106644d40fd6bc5e7f4f7c28c30bbb55c1f1af22
9,https://www.european-agency.org/Malti/publications/,/sites/default/files/young-views-on-inclusive-education_YoungViews-2012MT.pdf,https://www.european-agency.org/sites/default/files/young-views-on-inclusive-education_YoungViews-2012MT.pdf,young-views-on-inclusive-education_YoungViews-2012MT.pdf,0009.pdf,2017-07-28T11:06:37+00:00,2024-12-30 10:01:45.387897,7bbfd2659350dab54796fd79c5cb1d9956d75fe7f3713a0643a9e7ed3c2c0ab4
10,https://www.european-agency.org/Malti/publications/,/sites/default/files/fpies_self-review_tool_mt.docx,https://www.european-agency.org/sites/default/files/fpies_self-review_tool_mt.docx,fpies_self-review_tool_mt.docx,0010.docx,2019-02-18T15:48:43+00:00,2024-12-30 10:02:01.505992,cef1aae4af5041822a5f52423cb7295396cb1978d172c63b59c0b9548b388ec0
11,https://www.european-agency.org/Malti/publications/,/sites/default/files/Five_Key_Messages_for_Inclusive_Education_MT.pdf,https://www.european-agency.org/sites/default/files/Five_Key_Messages_for_Inclusive_Education_MT.pdf,Five_Key_Messages_for_Inclusive_Education_MT.pdf,0011.pdf,2017-07-28T11:07:16+00:00,2024-12-30 10:02:09.855740,7c6738212b12a54b6045f50beb2d38eeb95fbfae3ff4231b3240d46d69320937
12,https://www.european-agency.org/Malti/publications/,/sites/default/files/lisbon-declaration-young-people2019s-views-on-inclusive-education_declaration_mt.pdf,https://www.european-agency.org/sites/default/files/lisbon-declaration-young-people2019s-views-on-inclusive-education_declaration_mt.pdf,lisbon-declaration-young-people2019s-views-on-inclusive-education_declaration_mt.pdf,0012.pdf,2017-07-28T11:06:49+00:00,2024-12-30 10:02:12.913443,9ac9f15d9b6a6b30c7e42efdfa2ddc1571e20594b58acb02af0e0956b013e03e
